"general","specific","class","api_name"
"bytecode","instruction","LongConstant","com.facebook.presto.bytecode.instruction.Constant.LongConstant"
"bytecode","instruction","StringConstant","com.facebook.presto.bytecode.instruction.Constant.StringConstant"
"bytecode","instruction","FieldInstruction","com.facebook.presto.bytecode.instruction.FieldInstruction"
"bytecode","instruction","GetFieldInstruction","com.facebook.presto.bytecode.instruction.FieldInstruction.GetFieldInstruction"
"bytecode","instruction","PutFieldInstruction","com.facebook.presto.bytecode.instruction.FieldInstruction.PutFieldInstruction"
"bytecode","instruction","InstructionNode","com.facebook.presto.bytecode.instruction.InstructionNode"
"bytecode","instruction","InvokeInstruction","com.facebook.presto.bytecode.instruction.InvokeInstruction"
"bytecode","instruction","InvokeDynamicInstruction","com.facebook.presto.bytecode.instruction.InvokeInstruction.InvokeDynamicInstruction"
"bytecode","instruction","JumpInstruction","com.facebook.presto.bytecode.instruction.JumpInstruction"
"bytecode","instruction","LabelNode","com.facebook.presto.bytecode.instruction.LabelNode"
"bytecode","instruction","VariableInstruction","com.facebook.presto.bytecode.instruction.VariableInstruction"
"bytecode","instruction","IncrementVariableInstruction","com.facebook.presto.bytecode.instruction.VariableInstruction.IncrementVariableInstruction"
"bytecode","instruction","LoadVariableInstruction","com.facebook.presto.bytecode.instruction.VariableInstruction.LoadVariableInstruction"
"bytecode","instruction","StoreVariableInstruction","com.facebook.presto.bytecode.instruction.VariableInstruction.StoreVariableInstruction"
"bytecode","ParameterizedType","ParameterizedType","com.facebook.presto.bytecode.ParameterizedType.typeFromPathName"
"cost","cost","ConnectorFilterStatsCalculatorService","com.facebook.presto.cost.ConnectorFilterStatsCalculatorService"
"cost","cost","FilterStatsCalculator","com.facebook.presto.cost.FilterStatsCalculator"
"cost","cost","ScalarStatsCalculator","com.facebook.presto.cost.ScalarStatsCalculator"
"execution","execution","QueryManagerConfig","com.facebook.presto.execution.QueryManagerConfig"
"execution","QueryManagerConfig","ExchangeMaterializationStrategy","com.facebook.presto.execution.QueryManagerConfig.ExchangeMaterializationStrategy"
"execution","execution","TaskManagerConfig","com.facebook.presto.execution.TaskManagerConfig"
