,general,specific,class,api_name,corpus,expert
0,bytecode,instruction,LongConstant,com.facebook.presto.bytecode.instruction.Constant.LongConstant,bytecode instruction LongConstant,"Machine Learning,0.59"
1,bytecode,instruction,StringConstant,com.facebook.presto.bytecode.instruction.Constant.StringConstant,bytecode instruction StringConstant,"Input and Output,0.54"
2,bytecode,instruction,FieldInstruction,com.facebook.presto.bytecode.instruction.FieldInstruction,bytecode instruction FieldInstruction,"Machine Learning,0.6"
3,bytecode,instruction,GetFieldInstruction,com.facebook.presto.bytecode.instruction.FieldInstruction.GetFieldInstruction,bytecode instruction GetFieldInstruction,"Machine Learning,0.65"
4,bytecode,instruction,PutFieldInstruction,com.facebook.presto.bytecode.instruction.FieldInstruction.PutFieldInstruction,bytecode instruction PutFieldInstruction,"Machine Learning,0.64"
5,bytecode,instruction,InstructionNode,com.facebook.presto.bytecode.instruction.InstructionNode,bytecode instruction InstructionNode,"Interpreter,0.53"
6,bytecode,instruction,InvokeInstruction,com.facebook.presto.bytecode.instruction.InvokeInstruction,bytecode instruction InvokeInstruction,"Interpreter,0.59"
7,bytecode,instruction,InvokeDynamicInstruction,com.facebook.presto.bytecode.instruction.InvokeInstruction.InvokeDynamicInstruction,bytecode instruction InvokeDynamicInstruction,"Interpreter,0.58"
8,bytecode,instruction,JumpInstruction,com.facebook.presto.bytecode.instruction.JumpInstruction,bytecode instruction JumpInstruction,"Machine Learning,0.59"
9,bytecode,instruction,LabelNode,com.facebook.presto.bytecode.instruction.LabelNode,bytecode instruction LabelNode,"Parser,0.53"
10,bytecode,instruction,VariableInstruction,com.facebook.presto.bytecode.instruction.VariableInstruction,bytecode instruction VariableInstruction,"Machine Learning,0.57"
11,bytecode,instruction,IncrementVariableInstruction,com.facebook.presto.bytecode.instruction.VariableInstruction.IncrementVariableInstruction,bytecode instruction IncrementVariableInstruction,"Error Handling,0.53"
12,bytecode,instruction,LoadVariableInstruction,com.facebook.presto.bytecode.instruction.VariableInstruction.LoadVariableInstruction,bytecode instruction LoadVariableInstruction,"Machine Learning,0.6"
13,bytecode,instruction,StoreVariableInstruction,com.facebook.presto.bytecode.instruction.VariableInstruction.StoreVariableInstruction,bytecode instruction StoreVariableInstruction,"Machine Learning,0.6"
14,bytecode,ParameterizedType,ParameterizedType,com.facebook.presto.bytecode.ParameterizedType.typeFromPathName,bytecode ParameterizedType ParameterizedType,"Parser,0.56"
15,cost,cost,ConnectorFilterStatsCalculatorService,com.facebook.presto.cost.ConnectorFilterStatsCalculatorService,cost cost ConnectorFilterStatsCalculatorService,"Software Development and IT Operations,0.6"
16,cost,cost,FilterStatsCalculator,com.facebook.presto.cost.FilterStatsCalculator,cost cost FilterStatsCalculator,"Big Data,0.56"
17,cost,cost,ScalarStatsCalculator,com.facebook.presto.cost.ScalarStatsCalculator,cost cost ScalarStatsCalculator,"Big Data,0.56"
18,execution,execution,QueryManagerConfig,com.facebook.presto.execution.QueryManagerConfig,execution execution QueryManagerConfig,"Application Performance Manager,0.68"
19,execution,QueryManagerConfig,ExchangeMaterializationStrategy,com.facebook.presto.execution.QueryManagerConfig.ExchangeMaterializationStrategy,execution QueryManagerConfig ExchangeMaterializationStrategy,"Software Development and IT Operations,0.69"
20,execution,execution,TaskManagerConfig,com.facebook.presto.execution.TaskManagerConfig,execution execution TaskManagerConfig,"Application Performance Manager,0.71"
21,execution,scheduler,NodeSchedulerConfig,com.facebook.presto.execution.scheduler.NodeSchedulerConfig,execution scheduler NodeSchedulerConfig,"User Interface,0.62"
22,execution,warnings,WarningCollectorConfig,com.facebook.presto.execution.warnings.WarningCollectorConfig,execution warnings WarningCollectorConfig,"Error Handling,0.67"
23,execution,warnings,WarningHandlingLevel,com.facebook.presto.execution.warnings.WarningHandlingLevel,execution warnings WarningHandlingLevel,"Error Handling,0.74"
