general,specific,api_name_fk,expert
JSci,maths,JSci.maths.statistics.ProbabilityDistribution,Util
accumulo,core,org.apache.accumulo.core.client.AccumuloException,Big Data
accumulo,core,org.apache.accumulo.core.client.AccumuloSecurityException,Big Data
accumulo,core,org.apache.accumulo.core.client.BatchScanner,Big Data
accumulo,core,org.apache.accumulo.core.client.BatchWriter,Big Data
accumulo,core,org.apache.accumulo.core.client.BatchWriterConfig,Big Data
accumulo,core,org.apache.accumulo.core.client.Connector,Big Data
accumulo,core,org.apache.accumulo.core.client.Instance,Big Data
accumulo,core,org.apache.accumulo.core.client.IteratorSetting,Big Data
accumulo,core,org.apache.accumulo.core.client.MutationsRejectedException,Big Data
accumulo,core,org.apache.accumulo.core.client.NamespaceExistsException,Big Data
accumulo,core,org.apache.accumulo.core.client.Scanner,Big Data
accumulo,core,org.apache.accumulo.core.client.TableExistsException,Big Data
accumulo,core,org.apache.accumulo.core.client.TableNotFoundException,Big Data
accumulo,core,org.apache.accumulo.core.client.ZooKeeperInstance,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.BytesLexicoder,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.DoubleLexicoder,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.Lexicoder,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.ListLexicoder,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.LongLexicoder,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.StringLexicoder,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.impl.ByteUtils.concat,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.impl.ByteUtils.escape,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.impl.ByteUtils.split,Big Data
accumulo,core,org.apache.accumulo.core.client.lexicoder.impl.ByteUtils.unescape,Big Data
accumulo,core,org.apache.accumulo.core.client.mock.MockInstance,Big Data
accumulo,core,org.apache.accumulo.core.client.security.tokens.PasswordToken,Big Data
accumulo,core,org.apache.accumulo.core.data.ColumnUpdate,Big Data
accumulo,core,org.apache.accumulo.core.data.Key,Big Data
accumulo,core,org.apache.accumulo.core.data.Mutation,Big Data
accumulo,core,org.apache.accumulo.core.data.PartialKey,Big Data
accumulo,core,org.apache.accumulo.core.data.Range,Big Data
accumulo,core,org.apache.accumulo.core.data.Value,Big Data
accumulo,core,org.apache.accumulo.core.iterators.Combiner,Big Data
accumulo,core,org.apache.accumulo.core.iterators.FirstEntryInRowIterator,Big Data
accumulo,core,org.apache.accumulo.core.iterators.IteratorUtil.IteratorScope,Big Data
accumulo,core,org.apache.accumulo.core.iterators.LongCombiner,Big Data
accumulo,core,org.apache.accumulo.core.iterators.TypedValueCombiner,Big Data
accumulo,core,org.apache.accumulo.core.iterators.user.SummingCombiner,Big Data
accumulo,core,org.apache.accumulo.core.iterators.user.WholeRowIterator,Big Data
accumulo,core,org.apache.accumulo.core.security.Authorizations,Big Data
accumulo,core,org.apache.accumulo.core.security.ColumnVisibility,Big Data
accumulo,minicluster,org.apache.accumulo.minicluster.MemoryUnit.MEGABYTE,Big Data
accumulo,minicluster,org.apache.accumulo.minicluster.MiniAccumuloCluster,Big Data
accumulo,minicluster,org.apache.accumulo.minicluster.MiniAccumuloConfig,Big Data
accumulo,minicluster,org.apache.accumulo.minicluster.impl.MiniAccumuloConfigImpl,Big Data
airhacks,afterburner,com.airhacks.afterburner.injection.Injector,UI
airhacks,afterburner,com.airhacks.afterburner.injection.PresenterFactory,UI
airhacks,afterburner,com.airhacks.afterburner.views.ResourceLocator,UI
airhacks,afterburner,com.airhacks.afterburner.views.ViewLoader,UI
airlift,bootstrap,com.facebook.airlift.bootstrap.Bootstrap,DevOps
airlift,bootstrap,com.facebook.airlift.bootstrap.LifeCycleManager,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.BoundedExecutor,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.ConcurrentScheduledExecutor.createConcurrentScheduledExecutor,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.ExecutorServiceAdapter,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.ExtendedSettableFuture,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.addExceptionCallback,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.addSuccessCallback,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.addTimeout,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.allAsList,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.failedFuture,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.getDone,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.getFutureValue,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.toCompletableFuture,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.toListenableFuture,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.tryGetFutureValue,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.unmodifiableFuture,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.whenAnyComplete,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.MoreFutures.whenAnyCompleteCancelOthers,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.SetThreadName,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.ThreadLocalCache,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.ThreadPoolExecutorMBean,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.Threads,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.Threads.daemonThreadsNamed,DevOps
airlift,concurrent,com.facebook.airlift.concurrent.Threads.threadsNamed,DevOps
airlift,configuration,com.facebook.airlift.configuration.AbstractConfigurationAwareModule,DevOps
airlift,configuration,com.facebook.airlift.configuration.ConditionalModule.installModuleIf,DevOps
airlift,configuration,com.facebook.airlift.configuration.Config,DevOps
airlift,configuration,com.facebook.airlift.configuration.ConfigBinder.configBinder,DevOps
airlift,configuration,com.facebook.airlift.configuration.ConfigDescription,DevOps
airlift,configuration,com.facebook.airlift.configuration.ConfigSecuritySensitive,DevOps
airlift,configuration,com.facebook.airlift.configuration.ConfigurationAwareModule,DevOps
airlift,configuration,com.facebook.airlift.configuration.ConfigurationFactory,DevOps
airlift,configuration,com.facebook.airlift.configuration.DefunctConfig,DevOps
airlift,configuration,com.facebook.airlift.configuration.LegacyConfig,DevOps
airlift,configuration,com.facebook.airlift.configuration.testing.ConfigAssertions,DevOps
airlift,configuration,com.facebook.airlift.configuration.testing.ConfigAssertions.assertDeprecatedEquivalence,DevOps
airlift,configuration,com.facebook.airlift.configuration.testing.ConfigAssertions.assertFullMapping,DevOps
airlift,configuration,com.facebook.airlift.configuration.testing.ConfigAssertions.assertRecordedDefaults,DevOps
airlift,configuration,com.facebook.airlift.configuration.testing.ConfigAssertions.recordDefaults,DevOps
airlift,dbpool,com.facebook.airlift.dbpool.H2EmbeddedDataSourceModule,DevOps
airlift,dbpool,com.facebook.airlift.dbpool.MySqlDataSource,DevOps
airlift,dbpool,com.facebook.airlift.dbpool.MySqlDataSourceConfig,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.Announcer,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.DiscoveryBinder.discoveryBinder,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.DiscoveryModule,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceAnnouncement,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceAnnouncement.ServiceAnnouncementBuilder,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceAnnouncement.serviceAnnouncement,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceDescriptor,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceDescriptor.serviceDescriptor,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceDescriptorsRepresentation,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceSelector,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceSelectorConfig.DEFAULT_POOL,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceSelectorManager,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceType,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.ServiceTypes.serviceType,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.testing.StaticServiceSelector,DevOps
airlift,discovery,com.facebook.airlift.discovery.client.testing.TestingDiscoveryModule,DevOps
airlift,discovery,com.facebook.airlift.discovery.server.EmbeddedDiscoveryModule,DevOps
airlift,discovery,com.facebook.airlift.discovery.server.testing.TestingDiscoveryServer,DevOps
airlift,event,com.facebook.airlift.event.client.AbstractEventClient,DevOps
airlift,event,com.facebook.airlift.event.client.EventClient,DevOps
airlift,event,com.facebook.airlift.event.client.EventField,DevOps
airlift,event,com.facebook.airlift.event.client.EventField.EventFieldMapping,DevOps
airlift,event,com.facebook.airlift.event.client.EventModule,DevOps
airlift,event,com.facebook.airlift.event.client.EventType,DevOps
airlift,event,com.facebook.airlift.event.client.HttpEventModule,DevOps
airlift,event,com.facebook.airlift.event.client.JsonEventModule,DevOps
airlift,event,com.facebook.airlift.event.client.JsonEventSerializer,DevOps
airlift,event,com.facebook.airlift.event.client.ServiceUnavailableException,DevOps
airlift,http,com.facebook.airlift.http.client.BasicAuthRequestFilter,DevOps
airlift,http,com.facebook.airlift.http.client.BodyGenerator,DevOps
airlift,http,com.facebook.airlift.http.client.FullJsonResponseHandler,DevOps
airlift,http,com.facebook.airlift.http.client.FullJsonResponseHandler.JsonResponse,DevOps
airlift,http,com.facebook.airlift.http.client.FullJsonResponseHandler.createFullJsonResponseHandler,DevOps
airlift,http,com.facebook.airlift.http.client.HeaderName,DevOps
