"general","specific","api_name_fk","expert"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.answer","Logic"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.answerVoid","Logic"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.answersWithDelay","Logic"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.delegatesTo","Logic"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.returnsArgAt","Logic"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.returnsFirstArg","Logic"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.returnsLastArg","Logic"
"AdditionalAnswers","AdditionalAnswers","org.mockito.AdditionalAnswers.returnsSecondArg","Logic"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.*","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.and","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.aryEq","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.cmpEq","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.eq","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.find","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.geq","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.gt","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.leq","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.lt","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.not","Test"
"AdditionalMatchers","AdditionalMatchers","org.mockito.AdditionalMatchers.or","Test"
"Answers","Answers","org.mockito.Answers.CALLS_REAL_METHODS","Logic"
"Answers","Answers","org.mockito.Answers.RETURNS_DEFAULTS","Logic"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.*","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.any","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.any;""","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.anyCollection","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.anyFloat;""","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.anyInt","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.anyInt;""","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.anyLong","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.anyLong;""","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.anyString","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.argThat","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.contains","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.eq","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.isA","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.isNotNull","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.isNull","Test"
"ArgumentMatchers","ArgumentMatchers","org.mockito.ArgumentMatchers.nullable","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.*","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.any","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.anyInt","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.anyString","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.eq","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.given","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.mock","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.times","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.verify","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.willAnswer","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.willReturn","Test"
"BDDMockito","BDDMockito","org.mockito.BDDMockito.willThrow","Test"
"ExceededMemoryLimitException","ExceededMemoryLimitException","com.facebook.presto.ExceededMemoryLimitException.exceededGlobalTotalLimit","Big Data"
"ExceededMemoryLimitException","ExceededMemoryLimitException","com.facebook.presto.ExceededMemoryLimitException.exceededGlobalUserLimit","Big Data"
"ExceededMemoryLimitException","ExceededMemoryLimitException","com.facebook.presto.ExceededMemoryLimitException.exceededLocalBroadcastMemoryLimit","Big Data"
"ExceededMemoryLimitException","ExceededMemoryLimitException","com.facebook.presto.ExceededMemoryLimitException.exceededLocalRevocableMemoryLimit","Big Data"
"ExceededMemoryLimitException","ExceededMemoryLimitException","com.facebook.presto.ExceededMemoryLimitException.exceededLocalTotalMemoryLimit","Big Data"
"ExceededMemoryLimitException","ExceededMemoryLimitException","com.facebook.presto.ExceededMemoryLimitException.exceededLocalUserMemoryLimit","Big Data"
"ExceededSpillLimitException","ExceededSpillLimitException","com.facebook.presto.ExceededSpillLimitException.exceededLocalLimit","Big Data"
"ExceededSpillLimitException","ExceededSpillLimitException","com.facebook.presto.ExceededSpillLimitException.exceededPerQueryLocalLimit","Big Data"
"JSci","maths","JSci.maths.statistics.ProbabilityDistribution","Util"
"Matchers","Matchers","org.mockito.Matchers.*","Test"
"Matchers","Matchers","org.mockito.Matchers.any","Test"
"Matchers","Matchers","org.mockito.Matchers.anyBoolean","Test"
"Matchers","Matchers","org.mockito.Matchers.anyInt","Test"
"Matchers","Matchers","org.mockito.Matchers.anyObject","Test"
"Matchers","Matchers","org.mockito.Matchers.anyString","Test"
"Matchers","Matchers","org.mockito.Matchers.argThat","Test"
"Matchers","Matchers","org.mockito.Matchers.eq","Test"
"Matchers","Matchers","org.mockito.Matchers.refEq","Test"
"Matchers","Matchers","org.mockito.Matchers.startsWith","Test"
"Mockito","Mockito","org.mockito.Mockito.*","App"
"Mockito","Mockito","org.mockito.Mockito.CALLS_REAL_METHODS","App"
"Mockito","Mockito","org.mockito.Mockito.RETURNS_DEEP_STUBS","App"
"Mockito","Mockito","org.mockito.Mockito.RETURNS_DEFAULTS","App"
"Mockito","Mockito","org.mockito.Mockito.RETURNS_MOCKS","App"
"Mockito","Mockito","org.mockito.Mockito.RETURNS_SMART_NULLS","App"
"Mockito","Mockito","org.mockito.Mockito.after","App"
"Mockito","Mockito","org.mockito.Mockito.any","App"
"Mockito","Mockito","org.mockito.Mockito.any;""","App"
"Mockito","Mockito","org.mockito.Mockito.anyBoolean","App"
"Mockito","Mockito","org.mockito.Mockito.anyByte","App"
"Mockito","Mockito","org.mockito.Mockito.anyChar","App"
"Mockito","Mockito","org.mockito.Mockito.anyDouble","App"
"Mockito","Mockito","org.mockito.Mockito.anyFloat","App"
"Mockito","Mockito","org.mockito.Mockito.anyInt","App"
"Mockito","Mockito","org.mockito.Mockito.anyInt;""","App"
"Mockito","Mockito","org.mockito.Mockito.anyLong","App"
"Mockito","Mockito","org.mockito.Mockito.anyObject","App"
"Mockito","Mockito","org.mockito.Mockito.anyShort","App"
"Mockito","Mockito","org.mockito.Mockito.anyString","App"
"Mockito","Mockito","org.mockito.Mockito.anyVararg","App"
"Mockito","Mockito","org.mockito.Mockito.atLeast","App"
"Mockito","Mockito","org.mockito.Mockito.atLeastOnce","App"
"Mockito","Mockito","org.mockito.Mockito.atMost","App"
"Mockito","Mockito","org.mockito.Mockito.atMostOnce","App"
"Mockito","Mockito","org.mockito.Mockito.contains","App"
"Mockito","Mockito","org.mockito.Mockito.description","App"
"Mockito","Mockito","org.mockito.Mockito.doNothing","App"
"Mockito","Mockito","org.mockito.Mockito.doReturn","App"
"Mockito","Mockito","org.mockito.Mockito.doThrow","App"
"Mockito","Mockito","org.mockito.Mockito.endsWith","App"
"Mockito","Mockito","org.mockito.Mockito.eq","App"
"Mockito","Mockito","org.mockito.Mockito.framework","App"
"Mockito","Mockito","org.mockito.Mockito.inOrder","App"
"Mockito","Mockito","org.mockito.Mockito.isA","App"
"Mockito","Mockito","org.mockito.Mockito.isNotNull","App"
"Mockito","Mockito","org.mockito.Mockito.isNull","App"
"Mockito","Mockito","org.mockito.Mockito.lenient","App"
"Mockito","Mockito","org.mockito.Mockito.matches","App"
"Mockito","Mockito","org.mockito.Mockito.mock","App"
"Mockito","Mockito","org.mockito.Mockito.mock;""","App"
"Mockito","Mockito","org.mockito.Mockito.mockingDetails","App"
"Mockito","Mockito","org.mockito.Mockito.never","App"
"Mockito","Mockito","org.mockito.Mockito.notNull","App"
"Mockito","Mockito","org.mockito.Mockito.only","App"
"Mockito","Mockito","org.mockito.Mockito.same","App"
"Mockito","Mockito","org.mockito.Mockito.spy","App"
"Mockito","Mockito","org.mockito.Mockito.startsWith","App"
"Mockito","Mockito","org.mockito.Mockito.timeout","App"
"Mockito","Mockito","org.mockito.Mockito.times","App"
"Mockito","Mockito","org.mockito.Mockito.validateMockitoUsage","App"
"Mockito","Mockito","org.mockito.Mockito.verify","App"
"Mockito","Mockito","org.mockito.Mockito.verifyNoInteractions","App"
"Mockito","Mockito","org.mockito.Mockito.verifyNoMoreInteractions","App"
"Mockito","Mockito","org.mockito.Mockito.verifyZeroInteractions","App"
"Mockito","Mockito","org.mockito.Mockito.when","App"
"Mockito","Mockito","org.mockito.Mockito.when;""","App"
"Mockito","Mockito","org.mockito.Mockito.withSettings","App"
"MockitoAnnotations","MockitoAnnotations","org.mockito.MockitoAnnotations.openMocks","Test"
"PrestoMediaTypes","PrestoMediaTypes","com.facebook.presto.PrestoMediaTypes.APPLICATION_JACKSON_SMILE","Big Data"
"PrestoMediaTypes","PrestoMediaTypes","com.facebook.presto.PrestoMediaTypes.PRESTO_PAGES","Big Data"
"PrestoMediaTypes","PrestoMediaTypes","com.facebook.presto.PrestoMediaTypes.PRESTO_PAGES_TYPE","Big Data"
"RowPageBuilder","RowPageBuilder","com.facebook.presto.RowPageBuilder.rowPageBuilder","Big Data"
"RowPagesBuilder","RowPagesBuilder","com.facebook.presto.RowPagesBuilder.rowPagesBuilder","Big Data"
"SequencePageBuilder","SequencePageBuilder","com.facebook.presto.SequencePageBuilder.createSequencePage","Big Data"
"SequencePageBuilder","SequencePageBuilder","com.facebook.presto.SequencePageBuilder.createSequencePageWithDictionaryBlocks","Big Data"
"Session","Session","com.facebook.presto.Session.ResourceEstimateBuilder","Big Data"
"Session","Session","com.facebook.presto.Session.SessionBuilder","Big Data"
"Session","Session","com.facebook.presto.Session.builder","Big Data"
"SessionTestUtils","SessionTestUtils","com.facebook.presto.SessionTestUtils.TEST_SESSION","Big Data"
"SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.AGGREGATION_PARTITIONING_MERGING_STRATEGY","Big Data"
"SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.COLOCATED_JOIN","Big Data"
"SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.CONCURRENT_LIFESPANS_PER_NODE","Big Data"
"SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.DICTIONARY_AGGREGATION","Big Data"
