"general","specific","api_name_fk"
"BreakpadConfigurer","undefined","BreakpadConfigurer"
"internal","win32","internal/win32/CraReportContext"
"internal","unix","internal/unix/CraReportContext"
"AColor","undefined","AColor"
"AColorResources","undefined","AColorResources"
"wx","wx","wx/window"
"wx","wx","wx/colour"
"wx","wx","wx/dc"
"wx","wx","wx/dcmemory"
"wx","wx","wx/graics"
"wx","wx","wx/settings"
"wx","wx","wx/utils"
"AllemeResources","undefined","AllemeResources"
"eme","undefined","eme"
"AboutDialog","undefined","AboutDialog"
"wx","wx","wx/dialog"
"wxtmltmlwin","undefined","wxtmltmlwin"
"wx","wx","wx/button"
"wxyperlink","undefined","wxyperlink"
"wx","wx","wx/sizer"
"wx","wx","wx/statbmp"
"wx","wx","wx/intl"
"wx","wx","wx/sstream"
"wx","wx","wx/txtstrm"
"wx","wx","wx/statbox"
"wx","wx","wx/stattext"
"FileNames","undefined","FileNames"
"HelpText","undefined","HelpText"
"uttleGui","undefined","uttleGui"
"widgets","widgets","widgets/HelpSystem"
"ui","ui","ui/AccessibleLinksFormatter"
"vamp-sdk","vamp-sdk","../vamp-sdk/FFTimpl"
"images","DarkAudacityLogoWithName","../images/DarkAudacityLogoWithName.xpm"
"images","AudacityLogoWithName","../images/AudacityLogoWithName.xpm"
"RevisionIdent","undefined","RevisionIdent"
"ActiveProject","undefined","ActiveProject"
"KeyboardCapture","undefined","KeyboardCapture"
"Project","undefined","Project"
"ProjectWindows","undefined","ProjectWindows"
"wx","wx","wx/app"
"wx","wx","wx/frame"
"ActiveProjects","undefined","ActiveProjects"
"Prefs","undefined","Prefs"
"wx","wx","wx/filename"
"AdornedRulerPanel","undefined","AdornedRulerPanel"
"wx","wx","wx/setup"
"wx","wx","wx/tooltip"
"Aqua","UpButtonSquare","Aqua/UpButtonSquare.xpm"
"effects","effects","../effects/TimeWarper"
"AudioIO","undefined","AudioIO"
"CellularPanel","undefined","CellularPanel"
"HitTestResult","undefined","HitTestResult"
"Menus","undefined","Menus"
"Aqua","DownButtonSquare","Aqua/DownButtonSquare.xpm"
"Aqua","HiliteButtonSquare","Aqua/HiliteButtonSquare.xpm"
"ProjectAudioIO","undefined","ProjectAudioIO"
"ProjectAudioManager","undefined","ProjectAudioManager"
"Aqua","Up","Aqua/Up.xpm"
"ProjectStatus","undefined","ProjectStatus"
"ProjectWindow","undefined","ProjectWindow"
"RefreCode","undefined","RefreCode"
"Snap","undefined","Snap"
"Track","undefined","Track"
"TrackPanelMouseEvent","undefined","TrackPanelMouseEvent"
"UIHandle","undefined","UIHandle"
"ViewInfo","undefined","ViewInfo"
"prefs","prefs","prefs/TracksPrefs"
"prefs","prefs","prefs/emePrefs"
"toolbars","toolbars","toolbars/ToolBar"
"tracks","ui","tracks/ui/Scrubbing"
"tracks","ui","tracks/ui/TrackView"
"widgets","widgets","widgets/AButton"
"widgets","widgets","widgets/AudacityMessageBox"
"widgets","widgets","widgets/Grabber"
"wx","wx","wx/dcclient"
"wx","wx","wx/menu"
"Aqua","Down","Aqua/Down.xpm"
"AudacityApp","undefined","AudacityApp"
"vld","undefined","vld"
"Aqua","Hilite","Aqua/Hilite.xpm"
"wx","wx","wx/wxcrtvararg"
"wx","wx","wx/defs"
"wx","wx","wx/evtloop"
"Aqua","SliderThumb","Aqua/SliderThumb.xpm"
"wx","wx","wx/bitmap"
"wx","wx","wx/docview"
"wx","wx","wx/event"
"wx","wx","wx/ipc"
"Aqua","Slider","Aqua/Slider.xpm"
"ControlButtons","UpButton","ControlButtons/UpButton.xpm"
"ControlButtons","DownButton","ControlButtons/DownButton.xpm"
"wx","wx","wx/snglinst"
"wx","wx","wx/spla"
"wx","wx","wx/stdpas"
"wx","wx","wx/sysopt"
"wx","wx","wx/fontmap"
"wx","wx","wx/fs_zip"
"wx","wx","wx/image"
"wx","wx","wx/dir"
"wx","wx","wx/file"
"ControlButtons","HiliteButton","ControlButtons/HiliteButton.xpm"
"unistd","undefined","unistd"
"gtk","undefined","gtk/gtk"
"sys","sys","sys/types"
"sys","sys","sys/file"
"sys","sys","sys/stat"
"stdio","undefined","stdio"
"wx","msw","wx/msw/registry"
"AudacityLogger","undefined","AudacityLogger"
"ControlButtons","FFwdAlpha","ControlButtons/FFwdAlpha.xpm"
"toolbars","toolbars","../toolbars/MixerToolBar"
"toolbars","toolbars","../toolbars/DeviceToolBar"
"AudacityFileConfig","undefined","AudacityFileConfig"
"ControlButtons","FFwdDisabled","ControlButtons/FFwdDisabled.xpm"
"Benmark","undefined","Benmark"
"Clipboard","undefined","Clipboard"
"CrashReport","h ","CrashReport.h // for HAS_CRASH_REPORT"
"commands","commands","commands/CommandHandler"
"commands","commands","commands/AppCommandEvent"
"widgets","widgets","widgets/ASlider"
"FFmpeg","undefined","FFmpeg"
"Journal","undefined","Journal"
"Langoice","undefined","Langoice"
"Languages","undefined","Languages"
"ControlButtons","FFwd","ControlButtons/FFwd.xpm"
"PluginManager","undefined","PluginManager"
"ControlButtons","PlayAlpha","ControlButtons/PlayAlpha.xpm"
"ProjectFileIO","undefined","ProjectFileIO"
"ProjectFileManager","undefined","ProjectFileManager"
"ProjectHistory","undefined","ProjectHistory"
"ProjectManager","undefined","ProjectManager"
"ProjectSettings","undefined","ProjectSettings"
"Screenot","undefined","Screenot"
"Sequence","undefined","Sequence"
"SelectFile","undefined","SelectFile"
"TempDirectory","undefined","TempDirectory"
"ControlButtons","PlayDisabled","ControlButtons/PlayDisabled.xpm"
"prefs","prefs","prefs/PrefsDialog"
"ControlButtons","Play","ControlButtons/Play.xpm"
"PlatformCompatibility","undefined","PlatformCompatibility"
"AutoRecoveryDialog","undefined","AutoRecoveryDialog"
"SplaDialog","undefined","SplaDialog"
"FFT","undefined","FFT"
"ControlButtons","Loop","ControlButtons/Loop.xpm"
"prefs","prefs","prefs/DirectoriesPrefs"
"prefs","prefs","prefs/GUIPrefs"
"Printing","undefined","../Printing"
"FileConfig","undefined","FileConfig"
"widgets","widgets","widgets/FileHistory"
"update","update","update/UpdateManager"
"widgets","widgets","widgets/wxWidgetsBasicUI"
"NetworkManager","undefined","NetworkManager"
"prefs","prefs","prefs/KeyConfigPrefs"
"Profiler","undefined","Profiler"
"ModuleManager","undefined","ModuleManager"
"import","import","import/Import"
"ControlButtons","LoopDisabled","ControlButtons/LoopDisabled.xpm"
"effects","effects","effects/ScoreAlignDialog"
"ControlButtons","LoopAlpha","ControlButtons/LoopAlpha.xpm"
"ControlButtons","RecordAlpha","ControlButtons/RecordAlpha.xpm"
"thread","undefined","thread"
"dlfcn","undefined","dlfcn"
"glib-object","undefined","glib-object"
"sys","sys","sys/ipc"
"sys","sys","sys/sem"
"sys","sys","sys/m"
"ControlButtons","RecordDisabled","ControlButtons/RecordDisabled.xpm"
"ControlButtons","Record","ControlButtons/Record.xpm"
"widgets","widgets","widgets/wxPanelWrapper"
"ControlButtons","CleanSpeechAlpha","ControlButtons/CleanSpeechAlpha.xpm"
"images","Help","../images/Help.xpm"
"ControlButtons","CleanSpeechDisabled","ControlButtons/CleanSpeechDisabled.xpm"
"wx","wx","wx/bmpbuttn"
"dirent","undefined","dirent"
"AudacityHeaders","undefined","AudacityHeaders"
"ControlButtons","CleanSpeech","ControlButtons/CleanSpeech.xpm"
"AudioIOExt","undefined","AudioIOExt"
"AudioIOListener","undefined","AudioIOListener"
"float_cast","undefined","float_cast"
"DeviceManager","undefined","DeviceManager"
"cfloat","undefined","cfloat"
"ma","undefined","ma"
"stdlib","undefined","stdlib"
"algorithm","undefined","algorithm"
"numeric","undefined","numeric"
"malloc","undefined","malloc"
"alloca","undefined","alloca"
"portaudio","undefined","portaudio"
"portmixer","undefined","portmixer"
"vampostsdk","vampostsdk","vampostsdk/PluginSummarisingAdapter"
"ControlButtons","RewindAlpha","ControlButtons/RewindAlpha.xpm"
"ControlButtons","RewindDisabled","ControlButtons/RewindDisabled.xpm"
"wx","wx","wx/log"
"wx","wx","wx/textctrl"
"wx","wx","wx/timer"
"ControlButtons","Rewind","ControlButtons/Rewind.xpm"
"wx","wx","wx/debug"
"wx","wx","wx/power"
"Meter","undefined","Meter"
"Mix","undefined","Mix"
"Resample","undefined","Resample"
"RingBuffer","undefined","RingBuffer"
"Decibels","undefined","Decibels"
"climits","undefined","climits"
"vampostsdk","vampostsdk","vampostsdk/PluginWrapper"
"DBConnection","undefined","DBConnection"
"export","export","../export/ExportMP3"
"export","export","../export/ExportMultiple"
"WaveTrack","undefined","WaveTrack"
"effects","effects","effects/RealtimeEffectManager"
"QualitySettings","undefined","QualitySettings"
"import","import","../import/Import"
"BasicUI","undefined","BasicUI"
"pa_linux_alsa","undefined","pa_linux_alsa"
"import","import","../import/ImportMIDI"
"pread","undefined","pread"
"time","undefined","time"
"import","import","../import/ImportRaw"
"vampostsdk","vampostsdk","vampostsdk/RealTime"
"vamp-sdk","vamp-sdk","../vamp-sdk/RealTime"
"vamp-sdk","vamp-sdk","vamp-sdk/FFT"
"ControlButtons","StopAlpha","ControlButtons/StopAlpha.xpm"
"ControlButtons","StopDisabled","ControlButtons/StopDisabled.xpm"
"ControlButtons","Stop","ControlButtons/Stop.xpm"
"FFTimpl","undefined","FFTimpl"
"ControlButtons","Pause","ControlButtons/Pause.xpm"
"ControlButtons","PauseDisabled","ControlButtons/PauseDisabled.xpm"
"ControlButtons","PauseAlpha","ControlButtons/PauseAlpha.xpm"
"AboutDialog","undefined","../AboutDialog"
"Cursors32","CrosshairCursor","Cursors32/CrosshairCursor.xpm"
"wx","wx","wx/filefn"
"strstream","undefined","strstream"
"wx","wx","wx/listctrl"
"BatCommandDialog","undefined","BatCommandDialog"
" wx"," wx"," wx/ownerdrw"
"wx","wx","wx/eckbox"
"wx","wx","wx/oice"
"CrashReport","h ","../CrashReport.h // for HAS_CRASH_REPORT"
"HelpText","undefined","../HelpText"
"LogWindow","undefined","../LogWindow"
"vamp-sdk","vamp-sdk","vamp-sdk/RealTime"
"lilv","lilvmm","lilv/lilvmm.hpp"
"wx","wx","wx/radiobut"
"sord","sordmm","sord/sordmm.hpp"
"wx","wx","wx/string"
"QX11EmbedContainer","undefined","QX11EmbedContainer"
"effects","effects","effects/EffectManager"
"gdk","gdk","gdk/gdkx"
"suil_config","undefined","./suil_config"
"BatCommands","undefined","BatCommands"
"suil_internal","undefined","./suil_internal"
"wx","wx","wx/datetime"
"SplaDialog","undefined","../SplaDialog"
"QVBoxLayout","undefined","QVBoxLayout"
"wx","wx","wx/textfile"
"wx","wx","wx/time"
"QWidget","undefined","QWidget"
"QWindow","undefined","QWindow"
"commands","commands","commands/CommandManager"
"effects","effects","effects/EffectUI"
"QApplication","undefined","QApplication"
"QX11EmbedWidget","undefined","QX11EmbedWidget"
"Cursors32","DisabledCursor","Cursors32/DisabledCursor.xpm"
"Cursors32","RearrangeCursor","Cursors32/RearrangeCursor.xpm"
"SelectUtilities","undefined","SelectUtilities"
"uttle","undefined","uttle"
"Cursors32","RearrangingCursor","Cursors32/RearrangingCursor.xpm"
"UndoManager","undefined","UndoManager"
"Cursors32","EnvCursor","Cursors32/EnvCursor.xpm"
"gtk","gtk","gtk/gtkx"
"commands","commands","commands/CommandContext"
"BatProcessDialog","undefined","BatProcessDialog"
"lv2","lv2","lv2/options/options"
"lv2","lv2","lv2/urid/urid"
"ProjectAudioIO","undefined","../ProjectAudioIO"
"Cursors32","TimeCursor","Cursors32/TimeCursor.xpm"
"Cursors32","IBeamCursor","Cursors32/IBeamCursor.xpm"
"Cursors32","DrawCursor","Cursors32/DrawCursor.xpm"
"gdk","gdk","gdk/gdkwin32"
"Cursors32","ZoomInCursor","Cursors32/ZoomInCursor.xpm"
"Cursors32","ZoomOutCursor","Cursors32/ZoomOutCursor.xpm"
"Cursors32","LabelCursorLeft","Cursors32/LabelCursorLeft.xpm"
"Cursors32","LabelCursorRight","Cursors32/LabelCursorRight.xpm"
"QtEvents","undefined","QtEvents"
"Cursors32","BottomFrequencyCursor","Cursors32/BottomFrequencyCursor.xpm"
"Cursors32","TopFrequencyCursor","Cursors32/TopFrequencyCursor.xpm"
"wx","wx","wx/imaglist"
"Cursors32","BandWidthCursor","Cursors32/BandWidthCursor.xpm"
"QTimerEvent","undefined","QTimerEvent"
"QCloseEvent","undefined","QCloseEvent"
"Cursors32","StretchCursor","Cursors32/StretchCursor.xpm"
"Cursors32","StretchLeftCursor","Cursors32/StretchLeftCursor.xpm"
"Cursors32","StretchRightCursor","Cursors32/StretchRightCursor.xpm"
"Cursors32","SubViewsCursor","Cursors32/SubViewsCursor.xpm"
"RunParameters","undefined","RunParameters"
"sine","h ","sine.h /* sine_table and SINE_TABLE_LEN */"
"Aqua","Down","Aqua/Down.xpm    "
"EditButtons","Up","EditButtons/Up.xpm"
"effects","effects","effects/Effect"
"images","Arrow","../images/Arrow.xpm"
"images","Empty9x16","../images/Empty9x16.xpm"
"widgets","widgets","../widgets/AButton"
"widgets","widgets","../widgets/ASlider"
"widgets","widgets","widgets/FileDialog/FileDialog"
"widgets","widgets","../widgets/MeterPanel"
"EditButtons","Down","EditButtons/Down.xpm      "
"BatProcessDialog","undefined","../BatProcessDialog"
"widgets","widgets","widgets/AudacityTextEntryDialog"
"Benmark","undefined","../Benmark"
"widgets","widgets","widgets/WindowAccessible"
"wx","wx","wx/textdlg"
"EditButtons","Hilite","EditButtons/Hilite.xpm       "
"WavFile","undefined","WavFile"
"STTypes","undefined","STTypes"
"EditButtons","CopyAlpha","EditButtons/CopyAlpha.xpm"
"PluginRegistrationDialog","undefined","../PluginRegistrationDialog"
"EditButtons","CutAlpha","EditButtons/CutAlpha.xpm"
"EditButtons","Paste","EditButtons/Paste.xpm       "
"EditButtons","Redo","EditButtons/Redo.xpm           "
"EditButtons","Silence","EditButtons/Silence.xpm     "
"EditButtons","Trim","EditButtons/Trim.xpm        "
"EditButtons","Undo","EditButtons/Undo.xpm"
"BPMDetect","undefined","BPMDetect"
"Screenot","undefined","../Screenot"
"wx","wx","wx/valgen"
"wx","wx","wx/valtext"
"io","undefined","io"
"SampleBlock","undefined","SampleBlock"
"fcntl","undefined","fcntl"
"EditButtons","Copy","EditButtons/Copy.xpm        "
"WaveClip","undefined","WaveClip"
"EditButtons","Cut","EditButtons/Cut.xpm        "
"EditButtons","PasteAlpha","EditButtons/PasteAlpha.xpm  "
"EditButtons","RedoAlpha","EditButtons/RedoAlpha.xpm  "
"ProjectRate","undefined","ProjectRate"
"effects","effects","../effects/EffectUI"
"effects","effects","../effects/RealtimeEffectManager"
"prefs","prefs","../prefs/EffectsPrefs"
"AAFilter","undefined","AAFilter"
"FIRFilter","undefined","FIRFilter"
"EditButtons","SilenceAlpha","EditButtons/SilenceAlpha.xpm  "
"wx","wx","wx/eventfilter"
"EditButtons","TrimAlpha","EditButtons/TrimAlpha.xpm  "
"EditButtons","UndoAlpha","EditButtons/UndoAlpha.xpm "
"EditButtons","ZoomIn","EditButtons/ZoomIn.xpm"
"SpectrumAnalyst","undefined","../SpectrumAnalyst"
"FIFOSampleBuffer","undefined","FIFOSampleBuffer"
"PeakFinder","undefined","PeakFinder"
"TrackPanelCell","undefined","TrackPanelCell"
"EditButtons","ZoomInAlpha","EditButtons/ZoomInAlpha.xpm"
"EditButtons","ZoomOut","EditButtons/ZoomOut.xpm"
"CommonCommandFlags","undefined","CommonCommandFlags"
"EditButtons","ZoomOutAlpha","EditButtons/ZoomOutAlpha.xpm"
"EditButtons","ZoomSel","EditButtons/ZoomSel.xpm"
"EditButtons","ZoomSelAlpha","EditButtons/ZoomSelAlpha.xpm"
"EditButtons","ZoomFit","EditButtons/ZoomFit.xpm"
"EditButtons","ZoomFitAlpha","EditButtons/ZoomFitAlpha.xpm"
"EditButtons","ZoomToggle","EditButtons/ZoomToggle.xpm"
"EditButtons","ZoomToggleAlpha","EditButtons/ZoomToggleAlpha.xpm"
"TimeDialog","undefined","../TimeDialog"
"EditButtons","PasteDisabled","EditButtons/PasteDisabled.xpm       "
"EditButtons","RedoDisabled","EditButtons/RedoDisabled.xpm           "
"cpu_detect","undefined","cpu_detect"
"commands","commands","commands/CommandManagerWindowClasses"
"CraReport","undefined","CraReport"
"atomic","undefined","atomic"
"toolbars","toolbars","../toolbars/ControlToolBar"
"tracks","ui","../tracks/ui/SelectHandle"
"wxFileNameWrapper","undefined","wxFileNameWrapper"
"AudioIOBase","undefined","AudioIOBase"
"Internat","undefined","Internat"
"RateTransposer","undefined","RateTransposer"
"CrossFade","undefined","CrossFade"
"iostream","undefined","iostream"
"vector","undefined","vector"
"sqlite3","undefined","sqlite3"
"TDStret","undefined","TDStret"
"FileException","undefined","FileException"
"SentryHelper","undefined","SentryHelper"
"Audacity","undefined","Audacity"
"Dependencies","undefined","Dependencies"
"EditButtons","SilenceDisabled","EditButtons/SilenceDisabled.xpm     "
"EditButtons","TrimDisabled","EditButtons/TrimDisabled.xpm        "
"EditButtons","UndoDisabled","EditButtons/UndoDisabled.xpm"
"EditButtons","CopyDisabled","EditButtons/CopyDisabled.xpm        "
"EditButtons","CutDisabled","EditButtons/CutDisabled.xpm      "
"cpuid","undefined","cpuid"
"wx","wx","wx/clipbrd"
"wx","wx","wx/dataobj"
"EditButtons","ZoomInDisabled","EditButtons/ZoomInDisabled.xpm"
"EditButtons","ZoomOutDisabled","EditButtons/ZoomOutDisabled.xpm"
"blockfile","blockfile","blockfile/SimpleBlockFile"
"DirManager","undefined","DirManager"
"FileFormats","undefined","FileFormats"
"EditButtons","ZoomSelDisabled","EditButtons/ZoomSelDisabled.xpm"
"mmintrin","undefined","mmintrin"
"EditButtons","ZoomFitDisabled","EditButtons/ZoomFitDisabled.xpm"
"EditButtons","ZoomToggleDisabled","EditButtons/ZoomToggleDisabled.xpm"
"EditButtons","LinkTracks","EditButtons/LinkTracks.xpm"
"EditButtons","LinkTracksAlpha","EditButtons/LinkTracksAlpha.xpm"
"prefs","prefs","prefs/QualityPrefs"
"EditButtons","LinkTracksDisabled","EditButtons/LinkTracksDisabled.xpm"
"widgets","widgets","widgets/ProgressDialog"
"unordered_map","undefined","unordered_map"
"Diags","undefined","Diags"
"MixerImages","Mic","MixerImages/Mic.xpm"
"wxa","undefined","wxa"
"xmmintrin","undefined","xmmintrin"
"MixerImages","MicAlpha","MixerImages/MicAlpha.xpm"
"wx","wx","wx/stopwat"
"Envelope","undefined","Envelope"
"TimeTrack","undefined","../TimeTrack"
"MixerImages","Speaker","MixerImages/Speaker.xpm"
"wx","wx","wx/bru"
"wx","wx","wx/pen"
"MixerImages","SpeakerAlpha","MixerImages/SpeakerAlpha.xpm"
"TrackUtilities","undefined","../TrackUtilities"
"MusicalInstruments","acoustic_guitar_gtr","MusicalInstruments/acoustic_guitar_gtr.xpm"
"ZoomInfo","undefined","ZoomInfo"
"EnvelopeEditor","undefined","EnvelopeEditor"
"SoundTouDLL","undefined","SoundTouDLL"
"soundtou","undefined","soundtou"
"MusicalInstruments","acoustic_piano_pno","MusicalInstruments/acoustic_piano_pno.xpm"
"MusicalInstruments","back_vocal_bg_vox","MusicalInstruments/back_vocal_bg_vox.xpm"
"TrackArtist","undefined","TrackArtist"
"TrackPanelDrawingContext","undefined","TrackPanelDrawingContext"
"MusicalInstruments","clap","MusicalInstruments/clap.xpm"
"ring","undefined","ring"
"LabelDefaultClickHandle","undefined","LabelDefaultClickHandle"
"LabelTrackView","undefined","LabelTrackView"
"tracks","playabletrack","../tracks/playabletrack/wavetrack/ui/WaveTrackControls"
"HitTestResult","undefined","../../../HitTestResult"
"LabelTrack","undefined","../../../LabelTrack"
"wx","wx","wx/dynlib"
"RefreCode","undefined","../../../RefreCode"
"TrackPanelMouseEvent","undefined","../../../TrackPanelMouseEvent"
"effects","effects","../effects/ScoreAlignDialog"
"LabelGlyHandle","undefined","LabelGlyHandle"
"wx","wx","wx/arrstr"
"MusicalInstruments","drums_dr","MusicalInstruments/drums_dr.xpm"
"sndfile","undefined","sndfile"
"MusicalInstruments","electric_bass_guitar_bs_gtr","MusicalInstruments/electric_bass_guitar_bs_gtr.xpm"
"MemoryX","undefined","MemoryX"
"MusicalInstruments","electric_guitar_gtr","MusicalInstruments/electric_guitar_gtr.xpm"
"ProjectHistory","undefined","../../../ProjectHistory"
"FreqWindow","undefined","FreqWindow"
"MusicalInstruments","electric_piano_pno_key","MusicalInstruments/electric_piano_pno_key.xpm"
"MusicalInstruments","kick","MusicalInstruments/kick.xpm"
"UndoManager","undefined","../../../UndoManager"
"MusicalInstruments","loop","MusicalInstruments/loop.xpm"
"SelectionState","undefined","../../../SelectionState"
"ProjectAudioIO","undefined","../../../ProjectAudioIO"
"MusicalInstruments","organ_org","MusicalInstruments/organ_org.xpm"
"tracks","ui","../../../tracks/ui/TimeiftHandle"
"wx","wx","wx/font"
"MusicalInstruments","perc","MusicalInstruments/perc.xpm"
"MusicalInstruments","sax","MusicalInstruments/sax.xpm"
"LabelTextHandle","undefined","LabelTextHandle"
"wx","wx","wx/scrolbar"
